id	document_id	entity_id	entity_type	paragraph	word
12501	78	1776	Models::Entity	42	17
12502	78	1780	Models::Entity	42	36
12503	78	1781	Models::Entity	44	15
12504	78	1782	Models::Entity	44	33
12505	78	1759	Models::Entity	46	29
12506	78	1783	Models::Entity	52	14
12507	78	1784	Models::Entity	52	37
12508	78	1479	Models::Article	52	8
12509	78	1480	Models::Article	52	8
12510	78	1785	Models::Entity	54	27
12511	78	1786	Models::Entity	54	38
12512	78	1787	Models::Entity	54	44
12513	78	1788	Models::Entity	54	55
12514	78	1481	Models::Article	54	24
12515	78	1786	Models::Entity	82	8
12516	78	1482	Models::Article	82	5
12517	78	1786	Models::Entity	84	6
12518	78	1786	Models::Entity	84	6
12519	78	1483	Models::Article	84	3
12520	78	1786	Models::Entity	86	8
12521	78	1484	Models::Article	86	5
12522	78	1789	Models::Entity	88	7
12523	78	1751	Models::Entity	90	9
12524	78	1757	Models::Entity	90	15
12525	78	1751	Models::Entity	92	7
12526	78	1757	Models::Entity	92	13
12527	78	1751	Models::Entity	94	9
12528	78	1757	Models::Entity	94	15
12529	78	1759	Models::Entity	100	7
12530	78	1790	Models::Entity	100	23
12531	78	1791	Models::Entity	102	9
12532	78	1759	Models::Entity	102	11
12533	78	1485	Models::Article	102	5
12534	78	1790	Models::Entity	104	15
12535	78	1786	Models::Entity	104	119
12536	78	1792	Models::Entity	106	31
12537	78	1759	Models::Entity	106	45
12538	78	1793	Models::Entity	108	21
12539	78	1759	Models::Entity	108	25
12540	78	1790	Models::Entity	108	45
12541	78	1794	Models::Entity	108	67
12542	78	1795	Models::Entity	108	71
12543	78	1796	Models::Entity	108	76
12544	78	1759	Models::Entity	108	25
12545	78	1775	Models::Entity	108	100
12546	78	1486	Models::Article	108	17
12547	78	1795	Models::Entity	112	8
12548	78	1759	Models::Entity	112	27
12549	78	1797	Models::Entity	114	4
12550	78	1759	Models::Entity	114	26
12551	78	1798	Models::Entity	114	43
12552	78	1759	Models::Entity	116	9
12553	78	1759	Models::Entity	118	21
12554	78	1798	Models::Entity	122	12
12555	78	1799	Models::Entity	122	63
12556	78	1799	Models::Entity	124	42
12557	78	1799	Models::Entity	126	99
12558	78	1799	Models::Entity	128	102
12559	78	1800	Models::Entity	130	8
12560	78	1801	Models::Entity	132	20
12561	78	1802	Models::Entity	132	78
12562	78	1803	Models::Entity	134	43
12563	78	1802	Models::Entity	134	62
12564	78	1759	Models::Entity	136	7
12565	78	1759	Models::Entity	138	5
12566	78	1759	Models::Entity	138	5
12567	78	1759	Models::Entity	140	28
12568	78	1775	Models::Entity	142	6
12569	78	1804	Models::Entity	142	28
12570	78	1759	Models::Entity	142	8
12571	78	1805	Models::Entity	144	7
12572	78	1806	Models::Entity	148	7
