id	article	law_id
1475	7	1433
1476	8	1433
1477	12	1433
1478	42	1508
1479	17	1783
1480	36	1783
1481	9	1785
1482	2	1786
1483	4	1786
1484	22	1786
1485	42	1791
1486	42	1793
1487	197	1827
1488	203	1827
1489	8	1786
1490	9	1786
1491	2	1862
1492	16	1786
1493	2	1786
1494	15	1786
1495	16	1786
1496	17	1786
1497	16	1786
1498	17	1786
1499	16	1786
1500	17	1786
1501	16	1786
1502	17	1786
1503	17	1786
1504	15	1786
1505	2	1786
1506	2	1786
1507	19	1786
1508	31	1786
1509	9	1964
1510	15	1785
1511	6	1426
1512	7	1426
1513	27	1426
1514	28	1426
1515	73	1426
1516	78	1426
1517	94	1426
1518	105	1426
1519	28	1426
1520	7	1430
1521	16	1430
1522	45	1430
1523	1	1433
1524	7	1433
1525	8	1433
1526	12	1433
1527	6	1426
1528	7	1426
1529	27	1426
1530	28	1426
1531	73	1426
1532	78	1426
1533	94	1426
1534	105	1426
1535	28	1426
1536	7	1430
1537	16	1430
1538	45	1430
1539	1	1433
1540	7	1433
1541	8	1433
1542	12	1433
1543	6	1426
1544	7	1426
1545	27	1426
1546	28	1426
1547	73	1426
1548	78	1426
1549	94	1426
1550	105	1426
1551	1	1713
1552	112	1430
1553	28	1426
1554	7	1430
1555	16	1430
1556	45	1430
1557	1	1433
1558	7	1433
1559	8	1433
1560	12	1433
1561	6	1426
1562	7	1426
1563	27	1426
1564	28	1426
1565	73	1426
1566	78	1426
1567	94	1426
1568	105	1426
1569	158	1430
1570	32	1434
1571	28	1426
1572	7	1430
1573	16	1430
1574	45	1430
1575	1	1433
1576	7	1433
1577	8	1433
1578	12	1433
1579	106	2075
1580	107	2075
1581	111	2075
1582	116	2077
1583	28	1426
1584	7	1430
1585	16	1430
1586	45	1430
1587	1	1433
1588	7	1433
1589	8	1433
1590	12	1433
1591	28	1426
1592	28	1426
1593	7	1430
1594	16	1430
1595	45	1430
1596	1	1433
1597	7	1433
1598	8	1433
1599	12	1433
1600	6	1426
1601	7	1426
1602	27	1426
1603	28	1426
1604	73	1426
1605	78	1426
1606	94	1426
1607	105	1426
1608	97	1452
1609	6	1456
1610	97	1452
1611	28	1426
1612	7	1430
1613	16	1430
1614	45	1430
1615	1	1433
1616	7	1433
1617	8	1433
1618	12	1433
1619	8	2131
1620	28	1426
1621	7	1430
1622	16	1430
1623	45	1430
1624	1	1433
1625	7	1433
1626	8	1433
1627	12	1433
1628	6	1426
1629	7	1426
1630	27	1426
1631	28	1426
1632	73	1426
1633	78	1426
1634	94	1426
1635	105	1426
1636	28	1426
1637	7	1430
1638	16	1430
1639	45	1430
1640	1	1433
1641	7	1433
1642	8	1433
1643	12	1433
1644	13	1508
1645	6	1426
1646	7	1426
1647	27	1426
1648	28	1426
1649	73	1426
1650	78	1426
1651	94	1426
1652	105	1426
1653	6	1426
1654	7	1426
1655	27	1426
1656	28	1426
1657	73	1426
1658	78	1426
1659	94	1426
1660	105	1426
1661	3	1640
1662	6	1640
1663	7	1640
1664	8	1640
1665	13	1640
1666	16	1640
1667	17	1640
1668	6	1426
1669	7	1426
1670	27	1426
1671	28	1426
1672	73	1426
1673	78	1426
1674	94	1426
1675	105	1426
1676	28	1426
1677	7	1430
1678	16	1430
1679	45	1430
1680	1	1433
1681	7	1433
1682	8	1433
1683	12	1433
1684	6	1426
1685	7	1426
1686	27	1426
1687	28	1426
1688	73	1426
1689	78	1426
1690	94	1426
1691	105	1426
1692	51	1430
1693	3	1456
1694	10	1538
1695	28	1426
1696	7	1430
1697	16	1430
1698	45	1430
1699	1	1433
1700	7	1433
1701	8	1433
1702	12	1433
1703	6	1426
1704	7	1426
1705	27	1426
1706	28	1426
1707	73	1426
1708	78	1426
1709	94	1426
1710	105	1426
1711	113	2242
1712	94	1452
1713	28	1426
1714	7	1430
1715	16	1430
1716	45	1430
1717	1	1433
1718	7	1433
1719	8	1433
1720	12	1433
1721	27	1426
1722	28	1426
1723	134	1426
1724	17	1583
1725	6	1426
1726	7	1426
1727	27	1426
1728	28	1426
1729	73	1426
1730	78	1426
1731	94	1426
1732	105	1426
1733	28	1426
1734	7	1430
1735	16	1430
1736	45	1430
1737	1	1433
1738	7	1433
1739	8	1433
1740	12	1433
1741	6	1426
1742	7	1426
1743	27	1426
1744	28	1426
1745	73	1426
1746	78	1426
1747	94	1426
1748	105	1426
1749	97	1452
1750	97	1452
1751	9	2306
1752	9	2306
1753	9	2306
1754	6	1456
1755	97	1452
1756	28	1426
1757	7	1430
1758	16	1430
1759	45	1430
1760	1	1433
1761	7	1433
1762	8	1433
1763	12	1433
1764	6	1426
1765	7	1426
1766	27	1426
1767	28	1426
1768	73	1426
1769	78	1426
1770	94	1426
1771	105	1426
1772	27	1508
1773	27	1508
1774	27	1508
1775	27	1508
1776	112	1430
1777	28	1426
1778	7	1430
1779	16	1430
1780	45	1430
1781	1	1433
1782	7	1433
1783	8	1433
1784	12	1433
1785	6	1426
1786	7	1426
1787	27	1426
1788	28	1426
1789	73	1426
1790	78	1426
1791	94	1426
1792	105	1426
