once_de_junio_de_dos_mil_trece [??:11/6/2013:??.??:??] W 1
. . Fp 1

Denuncia_Escrito denuncia_escrito NP00000 1
presentado presentar VMP00SM 1
por por SP 1
Ultracable ultracable NP00000 1
el el DA0MS0 1
once_de_octubre_de_dos_mil_trece [??:11/10/2013:??.??:??] W 1
ante ante SP 0.999744
la el DA0FS0 0.98926
oficialía oficialía NCFS000 1
de de SP 0.999961
partes parte NCCP000 0.997076
de de SP 0.999961
la el DA0FS0 0.98926
COFECE cofece NP00000 1
. . Fp 1

Denunciada_Mega_Cable denunciada_mega_cable NP00000 1
. . Fp 1

Concepto_Descripción_Denunciante_Ultracable concepto_descripción_denunciante_ultracable NP00000 1
. . Fp 1

DF_Distrito_Federal df_distrito_federal NP00000 1
o o CC 0.999864
Ciudad_de_México ciudad_de_méxico NP00000 1
, , Fc 1
según según CS 0.231127
corresponda corresponder VMSP3S0 0.634863
. . Fp 1

DGCM_Dirección_General_de_Condiciones_de_Mercado dgcm_dirección_general_de_condiciones_de_mercado NP00000 1
, , Fc 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
Autoridad_Investigadora autoridad_investigadora NP00000 1
. . Fp 1

DGPC_Dirección_General_de_Procedimientos_de_Competencia dgpc_dirección_general_de_procedimientos_de_competencia NP00000 1
, , Fc 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
UCE uce NP00000 1
. . Fp 1

DGPMCI_Dirección_General_de_Prácticas_Monopólicas dgpmci_dirección_general_de_prácticas_monopólicas NP00000 1
y y CC 0.999989
Concentraciones_Ilícitas concentraciones_ilícitas NP00000 1
de de SP 0.999961
este este DD0MS0 0.949201
Instituto instituto NP00000 1
o o CC 0.999864
su su DP3CSN 1
titular titular NCCS000 0.820663
, , Fc 1
según según CS 0.231127
corresponda corresponder VMSP3S0 0.634863
. . Fp 1

DGPT_Dirección_General_de_Política_de_Telecomunicaciones dgpt_dirección_general_de_política_de_telecomunicaciones NP00000 1
y y CC 0.999989
de de SP 0.999961
Radiodifusión_de_la_SCT radiodifusión_de_la_sct NP00000 1
. . Fp 1

DISH dish NP00000 0.309655
/ / Fh 1
Cofresa_Comercializadora_de_Frecuencias_Satelitales cofresa_comercializadora_de_frecuencias_satelitales NP00000 1
, , Fc 1
S._de_R.L._de_C.V._DOF_Diario_Oficial_de_la_Federación s._de_r.l._de_c.v._dof_diario_oficial_de_la_federación NP00000 1
. . Fp 1

DTH_Siglas dth_siglas NP00000 1
que que PR0CN00 0.550139
