RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_PRORROGA_LA_VIGENCIA_DE resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_prorroga_la_vigencia_de NP00000 1
calcular calcular VMN0000 1
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
la el DA0FS0 0.98926
contraprestación contraprestación NCFS000 1
. . Fp 1

Con con SP 1
oficios oficio NCMP000 1
IFT/223/UCS/DG-CRAD/1913/2015 IFT/223/UCS/DG-CRAD/1913/2015 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
8_de_junio_de_2015 [??:8/6/2015:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
, , Fc 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
, , Fc 1
que que PR0CN00 0.550139
en en SP 1
ejercicio ejercicio NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
facultades facultad NCFP000 1
que que PR0CN00 0.550139
le le PP3CSD0 1
confiere conferir VMIP3S0 0.989239
el el DA0MS0 1
artículo artículo NCMS000 1
29 29 Z 1
fracción fracción NCFS000 1
VII_de_el_Estatuto_Orgánico vii_de_el_estatuto_orgánico NP00000 1
, , Fc 1
realizara realizar VMSI3S0 0.649967
las el DA0FP0 0.988184
gestiones gestión NCFP000 0.97619
necesarias necesario AQ0FP00 1
a_efecto_de a_efecto_de SP 1
que que CS 0.449861
se se P00CN00 0.494509
calcule calcular VMSP3S0 0.634863
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
la el DA0FS0 0.98926
contraprestación contraprestación NCFS000 1
que que PR0CN00 0.550139
deberán deber VMIF3P0 1
cubrir cubrir VMN0000 1
los el DA0MP0 0.992728
Concesionarios concesionarios NP00000 1
con con SP 1
motivo motivo NCMS000 0.992395
de de SP 0.999961
las el DA0FP0 0.988184
Solicitudes_de_Prórroga solicitudes_de_prórroga NP00000 1
. . Fp 1

Opinión_de_la_Secretaría_de_Comunicaciones opinión_de_la_secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
. . Fp 1
- - Fg 1
Con con SP 1
oficio oficio NCMS000 0.986111
1.-230 1.-230 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
28_de_julio_de_2015 [??:28/7/2015:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
emitió emitir VMIS3S0 1
opinión opinión NCFS000 1
favorable favorable AQ0CS00 1
desde desde SP 1
el el DA0MS0 1
punto punto NCMS000 1
de de SP 0.999961
vista vista NCFS000 0.802353
técnico técnico AQ0MS00 0.178172
respecto_de respecto_de SP 1
las el DA0FP0 0.988184
solicitudes solicitud NCFP000 1
presentadas presentar VMP00PF 1
por por SP 1
los el DA0MP0 0.992728
Concesionarios concesionarios NP00000 1
. . Fp 1

Opiniones opiniones NP00000 0.331016
en_Materia_de en_materia_de SP 1
Competencia_Económica competencia_económica NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
oficios oficio NCMP000 1
IFT/226/UCE/DG-CCON/327/2015 IFT/226/UCE/DG-CCON/327/2015 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
26_de_noviembre_de_2015 [??:26/11/2015:??.??:??] W 1
, , Fc 1
IFT/226/UCE/DG-CCON/182/2016 IFT/226/UCE/DG-CCON/182/2016 Z 1
e y CC 0.987994
IFT/226/UCE/DG-CCON/195/2016 IFT/226/UCE/DG-CCON/195/2016 Z 1
de de SP 0.999961
fechas fecha NCFP000 0.980583
15 15 Z 1
y y CC 0.999989
19_de_abril_de_2016 [??:19/4/2016:??.??:??] W 1
, , Fc 1
respectivamente respectivamente RG 1
, , Fc 1
e y CC 0.987994
IFT/226/UCE/DG-CCON/371/2016 IFT/226/UCE/DG-CCON/371/2016 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
12_de_septiembre_de_2016 [??:12/9/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Dirección_General_de_Concentraciones dirección_general_de_concentraciones NP00000 1
y y CC 0.999989
Concesiones_de_la_Unidad_de_Competencia_Económica concesiones_de_la_unidad_de_competencia_económica NP00000 1
emitió emitir VMIS3S0 1
las el DA0FP0 0.988184
opiniones opinión NCFP000 1
en_materia_de en_materia_de SP 1
